srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label,source_file
10.0.2.9,161,10.0.2.6,38718,udp,1.9085586489999289,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,55896,10.0.2.9,161,udp,2.9127648139999565,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,55970,10.0.2.9,161,udp,1.9062560890000668,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,42206,10.0.2.9,161,udp,4.081780722000019,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,56803,udp,1.7213886719999891,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,60588,udp,1.8611495150000223,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,38432,udp,1.1562964990000069,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,52255,10.0.2.9,161,udp,3.359834739000007,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,48415,10.0.2.9,161,udp,1.2466955159999884,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,45971,10.0.2.9,161,udp,4.539200889000028,179048,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,51255,10.0.2.9,161,udp,3.782414759999994,179045,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,39723,10.0.2.9,161,udp,4.277685583999983,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,49396,10.0.2.9,161,udp,1.265074716000015,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,35360,udp,1.2909064559999877,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,55590,udp,3.2417133870000043,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,60007,udp,3.0086192149999818,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,39247,10.0.2.9,161,udp,2.7739770489999955,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,57307,udp,1.4027859679999892,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,49128,udp,2.151011468999968,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
