frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len
102,98.648275860,10.0.4.4,10.0.4.3,1,,,,,98
103,99.654105786,10.0.4.3,10.0.4.4,1,,,,,98
104,99.655626533,10.0.4.4,10.0.4.3,1,,,,,98
105,102.807853272,10.0.4.4,10.0.4.255,17,,,138,138,251
106,104.686599891,,,,,,,,42
107,104.689284939,,,,,,,,60
108,132.265798149,10.0.4.3,10.0.4.4,6,4444,49164,,,54
109,132.267416141,10.0.4.4,10.0.4.3,6,49164,4444,,,60
110,132.277804582,10.0.4.4,10.0.4.3,6,49165,4444,,,66
111,132.277920600,10.0.4.3,10.0.4.4,6,4444,49165,,,54
112,132.279721018,10.0.4.4,10.0.4.3,6,49164,4444,,,60
113,132.279764082,10.0.4.3,10.0.4.4,6,4444,49164,,,54
114,132.773574809,10.0.4.4,10.0.4.3,6,49165,4444,,,66
115,132.773604764,10.0.4.3,10.0.4.4,6,4444,49165,,,54
116,133.289356137,10.0.4.4,10.0.4.3,6,49165,4444,,,62
117,133.289423442,10.0.4.3,10.0.4.4,6,4444,49165,,,54
118,134.206000167,10.0.4.3,10.0.4.2,17,,,68,67,324
119,134.216359242,,,,,,,,60
120,134.216380607,,,,,,,,42
121,134.216359674,10.0.4.2,10.0.4.3,17,,,67,68,590
122,139.237313605,,,,,,,,42
123,139.245985266,,,,,,,,60
124,143.310515640,10.0.4.4,10.0.4.3,6,49165,4444,,,66
125,143.310541771,10.0.4.3,10.0.4.4,6,4444,49165,,,54
126,143.817966176,10.0.4.4,10.0.4.3,6,49165,4444,,,66
127,143.817994900,10.0.4.3,10.0.4.4,6,4444,49165,,,54
128,144.324981358,10.0.4.4,10.0.4.3,6,49165,4444,,,62
129,144.325009288,10.0.4.3,10.0.4.4,6,4444,49165,,,54
130,148.026920335,10.0.4.3,10.0.4.4,6,39337,445,,,74
131,148.027988296,10.0.4.4,10.0.4.3,6,445,39337,,,74
132,148.028026096,10.0.4.3,10.0.4.4,6,39337,445,,,66
133,148.039651069,10.0.4.3,10.0.4.4,6,39337,445,,,154
134,148.041625101,10.0.4.4,10.0.4.3,6,445,39337,,,197
135,148.041679330,10.0.4.3,10.0.4.4,6,39337,445,,,66
136,148.044169791,10.0.4.3,10.0.4.4,6,39337,445,,,212
137,148.045909004,10.0.4.4,10.0.4.3,6,445,39337,,,347
138,148.048676284,10.0.4.3,10.0.4.4,6,39337,445,,,262
139,148.051477565,10.0.4.4,10.0.4.3,6,445,39337,,,179
140,148.052797557,10.0.4.3,10.0.4.4,6,39337,445,,,136
141,148.053818269,10.0.4.4,10.0.4.3,6,445,39337,,,116
142,148.055526245,10.0.4.3,10.0.4.4,6,39337,445,,,144
143,148.056914307,10.0.4.4,10.0.4.3,6,445,39337,,,105
144,148.058151851,10.0.4.3,10.0.4.4,6,34745,135,,,74
145,148.060069343,10.0.4.4,10.0.4.3,6,135,34745,,,74
146,148.060100109,10.0.4.3,10.0.4.4,6,34745,135,,,66
147,148.060646641,10.0.4.3,10.0.4.4,6,34745,135,,,138
148,148.062020187,10.0.4.4,10.0.4.3,6,135,34745,,,126
149,148.062047677,10.0.4.3,10.0.4.4,6,34745,135,,,66
150,148.062617189,10.0.4.3,10.0.4.4,6,34745,135,,,66
151,148.064222364,10.0.4.4,10.0.4.3,6,135,34745,,,66
152,148.064222670,10.0.4.4,10.0.4.3,6,135,34745,,,66
153,148.064261654,10.0.4.3,10.0.4.4,6,34745,135,,,66
154,148.066195854,10.0.4.3,10.0.4.4,6,39337,445,,,149
155,148.067458142,10.0.4.4,10.0.4.3,6,445,39337,,,105
156,148.380495615,10.0.4.4,10.0.4.3,6,445,39337,,,105
157,148.380519855,10.0.4.3,10.0.4.4,6,39337,445,,,78
158,148.752598720,10.0.4.3,10.0.4.4,6,39337,445,,,66
159,148.753460078,10.0.4.4,10.0.4.3,6,445,39337,,,66
160,148.754458107,10.0.4.4,10.0.4.3,6,445,39337,,,60
161,148.763482819,10.0.4.3,10.0.4.4,6,40989,445,,,74
162,148.765193670,10.0.4.4,10.0.4.3,6,445,40989,,,74
163,148.765351773,10.0.4.3,10.0.4.4,6,40989,445,,,66
164,148.769590753,10.0.4.3,10.0.4.4,6,40989,445,,,117
165,148.770732934,10.0.4.4,10.0.4.3,6,445,40989,,,197
166,148.770900839,10.0.4.3,10.0.4.4,6,40989,445,,,66
167,148.783748876,10.0.4.3,10.0.4.4,6,40989,445,,,202
168,148.785269275,10.0.4.4,10.0.4.3,6,445,40989,,,187
169,148.794533272,10.0.4.3,10.0.4.4,6,40989,445,,,136
170,148.796060327,10.0.4.4,10.0.4.3,6,445,40989,,,124
171,148.807924148,10.0.4.3,10.0.4.4,6,40989,445,,,1150
172,148.809462972,10.0.4.4,10.0.4.3,6,445,40989,,,105
173,148.843084926,10.0.4.3,10.0.4.4,6,40989,445,,,7306
174,148.843707438,10.0.4.4,10.0.4.3,6,445,40989,,,66
175,148.844264374,10.0.4.4,10.0.4.3,6,445,40989,,,66
176,148.844487616,10.0.4.3,10.0.4.4,6,40989,445,,,7306
