srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label
10.0.2.6,52255.0,10.0.2.9,161.0,udp,3.359834739000007,179248,0,64.0,64.0,snmp,1
10.0.2.6,48415.0,10.0.2.9,161.0,udp,1.2466955159999884,179248,0,64.0,64.0,snmp,1
10.0.2.6,45971.0,10.0.2.9,161.0,udp,4.539200889000028,179048,0,64.0,64.0,snmp,1
10.0.2.6,51255.0,10.0.2.9,161.0,udp,3.7824147599999947,179045,0,64.0,64.0,snmp,1
10.0.2.6,39723.0,10.0.2.9,161.0,udp,4.2776855839999826,179134,0,64.0,64.0,snmp,1
10.0.2.6,49396.0,10.0.2.9,161.0,udp,1.265074716000015,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,35360.0,udp,1.2909064559999877,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,55590.0,udp,3.2417133870000043,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,60007.0,udp,3.0086192149999818,186344,0,128.0,128.0,snmp,1
10.0.2.6,39247.0,10.0.2.9,161.0,udp,2.7739770489999955,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,57307.0,udp,1.4027859679999892,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,49128.0,udp,2.151011468999968,186228,0,128.0,128.0,snmp,1
10.0.2.6,40140.0,10.0.2.9,161.0,udp,1.724363842999992,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,34429.0,udp,1.390725132,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,33011.0,udp,1.0240365460000476,186344,0,128.0,128.0,snmp,1
10.0.2.6,33011.0,10.0.2.9,161.0,udp,1.0241569820000223,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,44848.0,udp,4.555257797000081,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,39846.0,udp,2.9201799799999435,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,50464.0,udp,1.3610418699999514,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,55612.0,udp,2.677727030999989,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,34143.0,udp,4.393135970000003,186254,0,128.0,128.0,snmp,1
10.0.2.6,55498.0,10.0.2.9,161.0,udp,2.9741339369999764,179248,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,57217.0,udp,1.1299671440000054,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,45735.0,udp,2.5464641969999775,186344,0,128.0,128.0,snmp,1
10.0.2.6,59947.0,10.0.2.9,161.0,udp,2.5828945620000923,179045,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,42157.0,udp,1.8001618699999824,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,46122.0,udp,3.3320356340000217,186048,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,38944.0,udp,3.5322920259999364,186228,0,128.0,128.0,snmp,1
10.0.2.6,39582.0,10.0.2.9,161.0,udp,1.255426005000004,179248,0,64.0,64.0,snmp,1
10.0.2.6,36114.0,10.0.2.9,161.0,udp,1.6860663040000645,179134,0,64.0,64.0,snmp,1
10.0.2.6,47638.0,10.0.2.9,161.0,udp,1.2827427249999914,179248,0,64.0,64.0,snmp,1
10.0.2.6,52850.0,10.0.2.9,161.0,udp,129.189955059,358382,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,39582.0,udp,1.2552079639999931,186344,0,128.0,128.0,snmp,1
10.0.2.6,52373.0,10.0.2.9,161.0,udp,1.037215045000039,179134,0,64.0,64.0,snmp,1
10.0.2.6,55028.0,10.0.2.9,161.0,udp,1.1133461750000038,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,56083.0,udp,1.2624186410000675,186228,0,128.0,128.0,snmp,1
10.0.2.6,38666.0,10.0.2.9,161.0,udp,4.27573960999996,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,32922.0,udp,3.8104270000000042,186228,0,128.0,128.0,snmp,1
10.0.2.6,56803.0,10.0.2.9,161.0,udp,1.7213586480000913,179248,0,64.0,64.0,snmp,1
10.0.2.6,59274.0,10.0.2.9,161.0,udp,1.3107582580000212,179248,0,64.0,64.0,snmp,1
10.0.2.6,54037.0,10.0.2.9,161.0,udp,2.2746400009999945,179248,0,64.0,64.0,snmp,1
10.0.2.6,33806.0,10.0.2.9,161.0,udp,3.4369832120000297,179070,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,59947.0,udp,2.58348944699992,186138,0,128.0,128.0,snmp,1
10.0.2.6,40366.0,10.0.2.9,161.0,udp,4.763100105000035,179134,0,64.0,64.0,snmp,1
10.0.2.6,41225.0,10.0.2.9,161.0,udp,0.8982578480000711,179248,0,64.0,64.0,snmp,1
10.0.2.6,52198.0,10.0.2.9,161.0,udp,3.648139716000003,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,55666.0,udp,4.330189781000058,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,35936.0,udp,1.711856124999997,186228,0,128.0,128.0,snmp,1
10.0.2.6,39991.0,10.0.2.9,161.0,udp,1.3565550859999576,179248,0,64.0,64.0,snmp,1
10.0.2.9,68.0,10.0.2.3,67.0,udp,599.410588226,1047,0,128.0,128.0,snmp,1
10.0.2.6,46515.0,10.0.2.9,161.0,udp,3.993834006000043,179248,0,64.0,64.0,snmp,1
10.0.2.6,59470.0,10.0.2.9,161.0,udp,171.19952235400007,358293,0,64.0,64.0,snmp,1
10.0.2.6,57834.0,10.0.2.9,161.0,udp,1.287039424999989,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,44147.0,udp,3.184878695000009,186228,0,128.0,128.0,snmp,1
10.0.2.6,51632.0,10.0.2.9,161.0,udp,1.5037933849999945,179045,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,37952.0,udp,1.2548759649999965,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,59274.0,udp,1.3105153959999711,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,60033.0,udp,4.046833260999961,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,60262.0,udp,1.5383787860000666,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,42504.0,udp,1.431008296000016,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,36201.0,udp,4.117748157999927,186254,0,128.0,128.0,snmp,1
10.0.2.6,47194.0,10.0.2.9,161.0,udp,4.366445832000011,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,51501.0,udp,1.2749441329999627,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,46609.0,udp,1.8878045229999998,186228,0,128.0,128.0,snmp,1
10.0.2.6,46669.0,10.0.2.9,161.0,udp,1.7043353740000384,179248,0,64.0,64.0,snmp,1
10.0.2.6,33593.0,10.0.2.9,161.0,udp,3.6082908610000004,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,45210.0,udp,1.293644148999988,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,53956.0,udp,1.1983695999999782,186228,0,128.0,128.0,snmp,1
10.0.2.6,50472.0,10.0.2.9,161.0,udp,1.9167277279999553,179248,0,64.0,64.0,snmp,1
10.0.2.6,45421.0,10.0.2.9,161.0,udp,1.0013657160000093,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,58222.0,udp,1.4624960950000059,186344,0,128.0,128.0,snmp,1
10.0.2.9,138.0,10.0.2.255,138.0,udp,720.236082128,740,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,60257.0,udp,1.9413585930000181,186254,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,50769.0,udp,1.2681120500000134,186344,0,128.0,128.0,snmp,1
10.0.2.6,40588.0,10.0.2.9,161.0,udp,1.4956323669999847,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,49077.0,udp,1.4210394909999877,186228,0,128.0,128.0,snmp,1
10.0.2.6,49490.0,10.0.2.9,161.0,udp,1.261062136999982,179248,0,64.0,64.0,snmp,1
10.0.2.6,47477.0,10.0.2.9,161.0,udp,0.9887956459999714,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,56432.0,udp,1.1646110409999437,186228,0,128.0,128.0,snmp,1
10.0.2.6,51364.0,10.0.2.9,161.0,udp,1.3005093099999954,179134,0,64.0,64.0,snmp,1
10.0.2.6,39682.0,10.0.2.9,161.0,udp,1.403001154000009,179248,0,64.0,64.0,snmp,1
10.0.2.6,41336.0,10.0.2.9,161.0,udp,1.2942333019999808,179248,0,64.0,64.0,snmp,1
10.0.2.6,60588.0,10.0.2.9,161.0,udp,1.8611569150000378,179248,0,64.0,64.0,snmp,1
10.0.2.6,39088.0,10.0.2.9,161.0,udp,2.563233886999967,179134,0,64.0,64.0,snmp,1
10.0.2.6,34223.0,10.0.2.9,161.0,udp,3.887426096000013,179045,0,64.0,64.0,snmp,1
10.0.2.6,51945.0,10.0.2.9,161.0,udp,2.202972588000023,179248,0,64.0,64.0,snmp,1
10.0.2.6,47823.0,10.0.2.9,161.0,udp,1.281526714999984,179134,0,64.0,64.0,snmp,1
10.0.2.6,41075.0,10.0.2.9,161.0,udp,3.9965531459999966,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,51846.0,udp,3.069542799000004,186228,0,128.0,128.0,snmp,1
10.0.2.6,44147.0,10.0.2.9,161.0,udp,3.1846694480000224,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,40654.0,udp,1.5465316669999538,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,59470.0,udp,171.197784931,372482,0,128.0,128.0,snmp,1
10.0.2.6,35462.0,10.0.2.9,161.0,udp,4.002331980000008,179134,0,64.0,64.0,snmp,1
10.0.2.3,67.0,10.0.2.9,68.0,udp,599.412394383,1770,0,255.0,255.0,snmp,1
10.0.2.9,1900.0,239.255.255.250,1900.0,udp,450.709826397,18510,0,1.0,1.0,snmp,1
10.0.2.9,161.0,10.0.2.6,55028.0,udp,1.1130336249999573,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,38146.0,udp,1.1542881550000175,186344,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,35576.0,udp,2.3631183680000163,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,47985.0,udp,1.6524731399999837,186344,0,128.0,128.0,snmp,1
10.0.2.6,55833.0,10.0.2.9,161.0,udp,1.858534469999995,179134,0,64.0,64.0,snmp,1
10.0.2.6,34575.0,10.0.2.9,161.0,udp,1.1630106480000109,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,46615.0,udp,1.3746518979999678,186228,0,128.0,128.0,snmp,1
10.0.2.6,44121.0,10.0.2.9,161.0,udp,1.108591778999994,179248,0,64.0,64.0,snmp,1
10.0.2.6,41113.0,10.0.2.9,161.0,udp,1.562675764000005,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,56434.0,udp,1.3142419799999914,186344,0,128.0,128.0,snmp,1
10.0.2.6,52382.0,10.0.2.9,161.0,udp,3.096370221000001,179248,0,64.0,64.0,snmp,1
10.0.2.6,34429.0,10.0.2.9,161.0,udp,1.390967226999976,179134,0,64.0,64.0,snmp,1
10.0.2.9,161.0,10.0.2.6,39723.0,udp,4.278343137999968,186228,0,128.0,128.0,snmp,1
10.0.2.9,161.0,10.0.2.6,34575.0,udp,1.162754935999999,186228,0,128.0,128.0,snmp,1
10.0.2.6,46615.0,10.0.2.9,161.0,udp,1.374988586000029,179134,0,64.0,64.0,snmp,1
