srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label
10.0.2.15,32884.0,10.0.2.5,161.0,udp,1.1209470730000248,199899,0,64.0,64.0,snmp,1
10.0.2.15,32887.0,10.0.2.5,161.0,udp,1.291774868999937,197762,0,64.0,64.0,snmp,1
10.0.2.15,32999.0,10.0.2.5,161.0,udp,1.1295233369999096,197762,0,64.0,64.0,snmp,1
10.0.2.15,33057.0,10.0.2.5,161.0,udp,1.2778326249999736,197762,0,64.0,64.0,snmp,1
10.0.2.15,33086.0,10.0.2.5,161.0,udp,1.1112279149999722,199899,0,64.0,64.0,snmp,1
10.0.2.15,33130.0,10.0.2.5,161.0,udp,1.3746839319999253,199899,0,64.0,64.0,snmp,1
10.0.2.15,33145.0,10.0.2.5,161.0,udp,1.1387385269999868,197762,0,64.0,64.0,snmp,1
10.0.2.15,33193.0,10.0.2.5,161.0,udp,1.2961153160001686,199899,0,64.0,64.0,snmp,1
10.0.2.15,33407.0,10.0.2.5,161.0,udp,1.155938985000148,199899,0,64.0,64.0,snmp,1
10.0.2.15,33471.0,10.0.2.5,161.0,udp,0.9766080469998997,199899,0,64.0,64.0,snmp,1
10.0.2.15,33507.0,10.0.2.5,161.0,udp,1.4810565970001335,199899,0,64.0,64.0,snmp,1
10.0.2.15,33568.0,10.0.2.5,161.0,udp,1.1628830170000128,197762,0,64.0,64.0,snmp,1
10.0.2.15,33863.0,10.0.2.5,161.0,udp,1.33361806899984,199899,0,64.0,64.0,snmp,1
10.0.2.15,33917.0,10.0.2.5,161.0,udp,1.5215122170000086,199899,0,64.0,64.0,snmp,1
10.0.2.15,33979.0,10.0.2.5,161.0,udp,1.1492641059999187,197762,0,64.0,64.0,snmp,1
10.0.2.15,34340.0,10.0.2.5,161.0,udp,1.0431696880000345,197762,0,64.0,64.0,snmp,1
10.0.2.15,34464.0,10.0.2.5,161.0,udp,1.3140577879999,199899,0,64.0,64.0,snmp,1
10.0.2.15,34534.0,10.0.2.5,161.0,udp,1.3946702420000747,197762,0,64.0,64.0,snmp,1
10.0.2.15,34622.0,10.0.2.5,161.0,udp,2.126071103999948,197869,0,64.0,64.0,snmp,1
10.0.2.15,34677.0,10.0.2.5,161.0,udp,1.3446768440001051,199899,0,64.0,64.0,snmp,1
10.0.2.15,34703.0,10.0.2.5,161.0,udp,1.161880912000015,197762,0,64.0,64.0,snmp,1
10.0.2.15,34762.0,10.0.2.5,161.0,udp,1.2874653369999578,197762,0,64.0,64.0,snmp,1
10.0.2.15,34819.0,10.0.2.5,161.0,udp,1.4364513190000707,197762,0,64.0,64.0,snmp,1
10.0.2.15,34863.0,10.0.2.5,161.0,udp,1.5588818410001295,197762,0,64.0,64.0,snmp,1
10.0.2.15,35633.0,10.0.2.5,161.0,udp,1.374892877000093,197762,0,64.0,64.0,snmp,1
10.0.2.15,35961.0,10.0.2.5,161.0,udp,1.1437227429998984,199899,0,64.0,64.0,snmp,1
10.0.2.15,36126.0,10.0.2.5,161.0,udp,2.347031080000079,197849,0,64.0,64.0,snmp,1
10.0.2.15,36338.0,10.0.2.5,161.0,udp,1.2550703839999642,199899,0,64.0,64.0,snmp,1
