srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label
192.168.100.1,53.0,10.0.2.3,55621.0,udp,1.5929153580000275,164,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,55725.0,udp,1.70678897699986,164,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,55844.0,udp,10.821824910000032,820,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,55903.0,udp,0.0,82,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,55925.0,udp,1.7390293899999847,164,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,55954.0,udp,7.785590202000094,492,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56164.0,udp,7.37976587600042,246,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56180.0,udp,14.939298833999828,410,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56227.0,udp,0.0,82,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56597.0,udp,0.0,82,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56604.0,udp,0.0,82,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56644.0,udp,6.019667056000117,164,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56658.0,udp,0.0,82,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56691.0,udp,0.0,82,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56749.0,udp,0.0,82,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56830.0,udp,9.235845991000133,328,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56866.0,udp,38.22038147399962,1230,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,56979.0,udp,0.0,82,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,57039.0,udp,0.0,82,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,57069.0,udp,0.0,82,0,64.0,64.0,other,0
192.168.100.1,53.0,10.0.2.3,57103.0,udp,1.831067742000073,164,0,64.0,64.0,other,0
