srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label
10.0.4.1,58476.0,10.0.4.4,5355.0,udp,0.0018421539999735614,192,0,255.0,255.0,other,0
10.0.4.2,67.0,10.0.4.3,68.0,udp,0.0,590,0,255.0,255.0,other,0
10.0.4.2,67.0,10.0.4.4,68.0,udp,0.0,590,0,255.0,255.0,other,0
10.0.4.3,33123.0,192.168.1.1,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.4.3,33232.0,10.0.4.4,161.0,udp,2.7148516230000155,184994,0,64.0,64.0,snmp,1
10.0.4.3,33410.0,10.0.4.4,161.0,udp,2.2578935540000202,184076,0,64.0,64.0,snmp,1
10.0.4.3,33447.0,10.0.4.4,161.0,udp,2.479041859000006,184994,0,64.0,64.0,snmp,1
10.0.4.3,33687.0,192.168.1.1,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.4.3,33899.0,10.0.4.4,161.0,udp,2.4875470759999985,184076,0,64.0,64.0,snmp,1
10.0.4.3,33991.0,10.0.4.4,161.0,udp,2.6309684430000004,184076,0,64.0,64.0,snmp,1
10.0.4.3,34195.0,192.168.1.1,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.4.3,34390.0,10.0.4.4,161.0,udp,2.3090478629999893,184994,0,64.0,64.0,snmp,1
10.0.4.3,34404.0,192.168.1.1,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.4.3,34800.0,10.0.4.4,161.0,udp,2.5487891159999663,184994,0,64.0,64.0,snmp,1
10.0.4.3,35050.0,10.0.4.4,161.0,udp,2.575728151000021,184994,0,64.0,64.0,snmp,1
10.0.4.3,35351.0,10.0.4.4,161.0,udp,2.5045267510000144,184076,0,64.0,64.0,snmp,1
10.0.4.3,35402.0,10.0.4.4,161.0,udp,2.3795948770000166,184076,0,64.0,64.0,snmp,1
10.0.4.3,35514.0,192.168.1.1,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.4.3,35582.0,10.0.4.4,161.0,udp,3.544294846000014,184966,0,64.0,64.0,snmp,1
10.0.4.3,35982.0,10.0.4.4,161.0,udp,2.0379527129999815,184877,0,64.0,64.0,snmp,1
10.0.4.3,36236.0,10.0.4.4,161.0,udp,2.281913710000026,184994,0,64.0,64.0,snmp,1
10.0.4.3,36431.0,10.0.4.4,161.0,udp,2.2649083599999926,184076,0,64.0,64.0,snmp,1
10.0.4.3,36466.0,10.0.4.4,161.0,udp,2.5354913529999976,184076,0,64.0,64.0,snmp,1
10.0.4.3,36671.0,10.0.4.4,161.0,udp,3.114650365999978,184165,0,64.0,64.0,snmp,1
