srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label
10.0.3.1,56618.0,10.0.3.7,5355.0,udp,0.0008338539999499517,194,0,255.0,255.0,other,0
10.0.3.1,63174.0,10.0.3.7,5355.0,udp,0.0005677590000061628,194,0,255.0,255.0,other,0
10.0.3.1,63544.0,10.0.3.7,5355.0,udp,0.0008906889999593659,194,0,255.0,255.0,other,0
10.0.3.2,67.0,10.0.3.4,68.0,udp,299.99857527,1180,0,255.0,255.0,other,0
10.0.3.2,67.0,10.0.3.7,68.0,udp,300.097651964,1180,0,255.0,255.0,other,0
10.0.3.4,32812.0,8.8.8.8,53.0,udp,0.0001991060000037237,174,0,64.0,64.0,other,0
10.0.3.4,32817.0,8.8.8.8,53.0,udp,0.010596137000007388,194,0,64.0,64.0,other,0
10.0.3.4,33232.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,33336.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,33359.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,33684.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,33722.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,34083.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,34224.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,34331.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,34410.0,10.0.3.7,161.0,udp,3.637322161000043,184402,0,64.0,64.0,snmp,1
10.0.3.4,34454.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,34465.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,34513.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,34735.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,34993.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35034.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35085.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35281.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35371.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35402.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35468.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35647.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35663.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35681.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35789.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35830.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,35936.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,36023.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,36093.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,36473.0,35.190.72.216,443.0,udp,0.36571545599998956,2308,0,64.0,64.0,other,0
10.0.3.4,36508.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,36897.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,37072.0,10.0.3.7,161.0,udp,4.413888679000024,184402,0,64.0,64.0,snmp,1
10.0.3.4,37272.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,37406.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,37490.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,37621.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,37659.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,37818.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,37839.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,38179.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,38491.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,38602.0,10.0.3.7,161.0,udp,3.573743954000008,184402,0,64.0,64.0,snmp,1
10.0.3.4,38613.0,8.8.8.8,53.0,udp,0.0005459630000004267,176,0,64.0,64.0,other,0
10.0.3.4,38623.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,38825.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,39330.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,39521.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,39634.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,39821.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,39892.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,40011.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,40139.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,40310.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,40339.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
10.0.3.4,40359.0,8.8.4.4,53.0,udp,0.0,81,0,64.0,64.0,other,0
